"VendorNumber,VendorName_x,total_purchase_qty,total_purchase_cost,avg_unit_cost,total_freight,freight_ratio,VendorName_y,total_sales_qty,total_sales_revenue,avg_sales_price,gross_profit,sales_to_cost_ratio,gross_margin_pct"
"6280,UNCORKED       ,74,831.3100000000001,11.956,8.63,0.01038120556711696,UNCORKED       ,1.0,20.99,20.99,-810.32,0.02524930531330069,-3860.5050023820872"
"6355,NICHE W & S                ,1373,17115.21,17.330178571428572,95.61,0.005586259239588647,NICHE W & S                ,1130.0,11409.699999999999,13.145948553054662,-5705.51,0.6666409585392175,-50.00578455174107"
"6359,OLE SMOKY DISTILLERY LLC   ,16272,53350.67,8.881926977687627,308.58,0.005783994840177265,OLE SMOKY DISTILLERY LLC   ,9939.0,49271.61,11.247528786536757,-4079.0599999999977,0.9235424784730913,-8.278722777680692"
"6785,PALM BAY INTERNATIONAL INC ,55673,399366.04,7.7466138019717095,4096.06,0.010256405376881822,PALM BAY INTERNATIONAL INC ,36530.0,394345.4,11.915029405512648,-5020.639999999956,0.9874284753906467,-1.2731579980392709"
"6830,PARK STREET IMPORTS LLC    ,627,9983.01,15.070476190476189,59.480000000000004,0.0059581228507233795,PARK STREET IMPORTS LLC    ,360.0,8073.4,22.3431914893617,-1909.6100000000006,0.8087140050946557,-23.653107736517462"
"7153,PINE STATE TRADING CO      ,63486,474084.61,9.996662606577345,3072.68,0.006481290333385848,PINE STATE TRADING CO      ,41472.0,458054.33999999997,12.409913561847988,-16030.270000000019,0.9661869006884657,-3.4996437322261853"
"7154,PREMIER DISTRIBUTORS       ,826,11692.32,14.993700787401576,99.61,0.008519267348139634,PREMIER DISTRIBUTORS       ,506.0,9868.939999999999,20.22883161512027,-1823.380000000001,0.8440531904703257,-18.475945744933107"
"7239,REMY COINTREAU USA INC     ,21746,514859.88,31.1379575596817,4417.2,0.008579421647691795,REMY COINTREAU USA INC     ,13536.0,424439.14,31.52319933462711,-90420.73999999999,0.8243779647386781,-21.303581945812063"
"7240,""PREMIUM PORT WINES, INC.   "",1243,9109.76,7.350384615384614,126.61,0.013898280525502318,""PREMIUM PORT WINES, INC.   "",851.0,8996.49,10.72972602739726,-113.27000000000044,0.9875660829703526,-1.2590465837232123"
"7245,PROXIMO SPIRITS INC.       ,103602,1170789.19,13.599551625358078,7220.4400000000005,0.006167156360574188,PROXIMO SPIRITS INC.       ,66036.0,1045361.14,17.085204370057482,-125428.04999999993,0.8928688007445645,-11.998537653695443"
"7255,PSP WINES ,2540,19490.77,7.5543781094527365,125.09,0.00641790960541836,PSP WINES ,1384.0,16012.66,11.791143583227445,-3478.1100000000006,0.8215509187169105,-21.721000758150115"
"7749,R.P.IMPORTS INC            ,113,3433.36,38.51285714285715,27.32,0.007957219749749516,R.P.IMPORTS INC            ,104.0,5065.96,54.99,1632.6,1.475510869818487,32.22686322039653"
"8004,SAZERAC CO INC             ,210454,1477361.75,10.079533192757944,14850.36,0.010051945638906653,SAZERAC CO INC             ,138013.0,1313878.02,12.520395590277058,-163483.72999999998,0.8893407589576486,-12.442839252307454"
"8112,MOET HENNESSY USA INC      ,64391,1394772.3,28.697970061238376,13292.39,0.009530150548587751,MOET HENNESSY USA INC      ,41304.0,1321347.69,34.02051143059156,-73424.6100000001,0.9473572783170413,-5.556797091006388"
"8150,SEA HAGG DISTILLERY LLC    ,2493,30107.03,12.588291457286433,213.32999999999998,0.007085720511123149,SEA HAGG DISTILLERY LLC    ,1415.0,22840.85,17.029748953974895,-7266.18,0.7586550383747583,-31.81221364353779"
"8320,SHAW ROSS INT L IMP LTD    ,10233,94159.3,10.489128329297822,850.56,0.00903320224343214,SHAW ROSS INT L IMP LTD    ,6855.0,84675.45,12.937758978925496,-9483.850000000006,0.8992786692339471,-11.200235723577503"
"8352,LUXCO INC                  ,43160,314448.02,9.92991287030122,2074.63,0.006597688228407353,LUXCO INC                  ,28809.0,287647.91,11.256398530529516,-26800.110000000044,0.9147709373396594,-9.31698408655222"
"8663,STAR INDUSTRIES INC.       ,18,295.38,16.41,1.31,0.004434965129663485,STAR INDUSTRIES INC.       ,56.0,1014.4399999999999,18.281666666666666,719.06,3.434355745141851,70.88245731635187"
"8664,""STOLI GROUP,(USA) LLC      "",47589,525095.85,16.439036181210092,2126.94,0.004050574766492632,""STOLI GROUP,(USA) LLC      "",26991.0,464417.49,17.659458209448296,-60678.359999999986,0.8844432687860703,-13.06547692680566"
"8673,STE MICHELLE WINE ESTATES  ,63458,462539.96,7.704914218566393,5384.48,0.011641113126744767,STE MICHELLE WINE ESTATES  ,42290.0,492688.92,12.445911535440208,30148.959999999963,1.0651813088754536,6.1192689293682445"
